,Unnamed: 0,name,Prediction result,pro non_persion
136,136,nguyen ngoc son,1,0.0008139014244079
137,137,trinh thi ha,1,0.0008091330528259
138,138,le dieu to uyen,1,0.4777646064758301
139,139,nguyen anh duc,1,0.0015761852264404
140,140,trinh thi huong,1,0.0006434321403503
141,141,ban huu ich,1,0.1368104815483093
142,142,vu xuan tung,1,0.0055278539657592
143,143,le thi mai trang,1,0.0021818876266479
144,144,nguyen the vinh,1,0.0005081892013549
145,145,nguyen van hao,1,0.0014249086380004
146,146,thai anh thu,1,0.0512773990631103
147,147,le huy hoa,1,0.0171893835067749
148,148,bui ngoc huong,1,0.0203647017478942
149,149,khau vinh thinh,1,0.0552690625190734
150,150,le thi hoai,1,0.0018861293792724
151,151,vo anh tuan,1,0.0339686274528503
152,152,nguyen van dai,1,0.0014249086380004
153,153,vo thi huynh huong,1,0.0020839571952819
154,154,le bao khanh,1,0.0113283395767211
155,155,le tien hong,1,0.0116492509841918
156,156,nguyen thi hien,1,0.0011124014854431
157,157,nguyen dinh hau,1,0.0010298490524291
158,158,nguyen thi trang nhung,1,0.0039006471633911
159,159,phan nguyen duc huy,1,0.0077469944953918
160,160,dang thi thu trang,1,0.0037742853164672
161,161,do trong mui,1,0.0413241982460022
162,162,tran gia hien,1,0.016101062297821
163,163,vu van phuong,1,0.0012032985687255
164,164,pham thu phuong,1,0.0021461844444274
165,165,cao duc vinh,1,0.0635735988616943
166,166,nguyen phi,1,0.0022421479225158
167,167,nguyen thi hien,1,0.0011124014854431
168,168,pham le ai tho,1,0.0899169445037841
169,169,dang thi thanh thuy,1,0.0011194348335266
170,170,trinh thi minh,1,0.000632107257843
171,171,nguyen thanh nhan,1,0.0035592913627624
172,172,phan khong minh,1,0.0057535767555236
173,173,trinh xuan bac,1,0.0174050331115722
174,174,ha hung hieu,1,0.1024124026298523
175,175,dang thanh tung,1,0.023665428161621
176,176,nguyen trong dang,1,0.001303493976593
177,177,tran xuan hoa,1,0.0166968703269958
178,178,nguyen minh khanh,1,0.0006790161132812
179,179,pham vuong quoc,1,0.0009469389915466
180,180,cong ty tnhh 99 minh khang,0,0.9976468682289124
181,181,nguyen thi nhu y,1,0.0016547441482543
182,182,pham hoang anh,1,0.0075389742851257
183,183,bui van dan,1,0.0034999847412109
184,184,thieu thi hang,1,0.0051143765449523
185,185,truong cong hiep,1,0.0541573166847229
186,186,luu huu phuoc,1,0.0519828200340271
187,187,nguyen thi kim anh,1,0.001239538192749
188,188,tran thi to tran,1,0.004462718963623
189,189,dinh huu hieu,1,0.0508254766464233
190,190,duong hoang long,1,0.0164405703544616
191,191,do dinh tuan anh,1,0.0113002657890319
192,192,dinh trong thang,1,0.0078328251838684
193,193,dam thi ngoc,1,0.0015395879745483
194,194,do huy tai,1,0.0118298530578613
195,195,truong thi thuy,1,0.0009494423866271
196,196,dinh thi kieu trang,1,0.0038936734199523
197,197,hoang van manh,1,0.0062385201454162
198,198,nguyen trong duy,1,0.001303493976593
199,199,pham quang binh,1,0.0005432963371276
200,200,phung thi thuy duong,1,0.0051820874214172
201,201,vu duy khanh,1,0.0141382217407226
202,202,dang quang hau,1,0.0020890831947326
203,203,mai ngoc ngan,1,0.0310893058776855
204,204,le van long,1,0.0015948414802551
205,205,nguyen van hiep,1,0.0013871192932128
206,206,luong thi thu thuy,1,0.0017906427383422
207,207,tran thi mai thuong,1,0.0024066567420959
208,208,le thi thu thao,1,0.0012106299400329
209,209,nguyen van ngan,1,0.0029623508453369
210,210,pham thi van,1,0.0012475252151489
211,211,tran viet manh,1,0.0112860798835754
212,212,ly van chu,1,0.0130399465560913
213,213,vo van nam,1,0.004058301448822
214,214,nguyen nhut hao,1,0.1428815722465515
215,215,do thi hanh,1,0.0010918378829956
216,216,nguyen ngoc ha,1,0.0022774338722229
217,217,do van an,1,0.003872811794281
218,218,dinh thi tuyet nhi,1,0.0119250416755676
219,219,tran quynh nhat uyen,1,0.0043557882308959
220,220,nguyen quoc khanh,1,0.0006294846534729
